Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
date,,,,,
2010-01-04,12.458056449890137,12.458056449890137,12.291147868006922,12.334544455851756,13303600
2010-01-05,12.351237297058105,12.494778805356306,12.284473597526812,12.478088198826397,21396400
2010-01-06,12.518143653869629,12.518143653869629,12.284471384315111,12.284471384315111,18720600
2010-01-07,12.4013090133667,12.501453914840537,12.374603027154201,12.441366719273931,10964600
2010-01-08,12.334542274475098,12.481421342128497,12.304498684112902,12.40464356084982,14624200
2010-01-11,12.294486999511719,12.464733196148499,12.224384425921093,12.421336607432675,15317700
2010-01-12,12.137594223022461,12.244415630670117,12.030772815374805,12.214372030180987,14886200
2010-01-13,12.11756420135498,12.264444585502474,11.964008593756756,12.204357387153332,23228200
2010-01-14,11.907257080078125,12.170972933107542,11.870538263395348,12.11088574448283,20073400
2010-01-15,11.93396282196045,12.050798312251471,11.853846147609936,11.8738756345504,21169000
2010-01-18,12.201017379760742,12.241075083838455,11.94064039313844,11.984036982045973,23168400
2010-01-19,12.144268989562988,12.234399778186328,12.097534789553428,12.167636089567768,16895900
2010-01-20,11.833819389343262,12.067491672072462,11.770393309604318,12.05079979419706,18757500
2010-01-21,11.459945678710938,11.917274909759483,11.446592684402985,11.877217200247253,24553000
2010-01-22,11.600147247314453,11.616837851980804,11.369813846731173,11.386504451397524,19025100
2010-01-26,11.31640338897705,11.463282495947997,11.232949090454834,11.44659189092586,20281200
2010-01-27,11.38650131225586,11.446588491218515,11.186210291243286,11.31640002793648,19908600
2010-01-28,11.553411483764648,11.580116192940118,11.306386238482037,11.550072599235628,13819200
2010-01-29,11.406532287597656,11.700291758901916,11.326416878503792,11.610160968612718,16106700
2010-02-01,11.449930191040039,11.513356276714061,11.316404069422607,11.446592579199539,15869300
2010-02-02,11.38316535949707,11.573441050740021,11.369813640053598,11.520030352731673,15289600
2010-02-03,11.363138198852539,11.409872404773331,11.259654404733924,11.36647581067048,16091200
2010-02-04,10.782295227050781,11.32975522733101,10.72220802961402,11.296374016937943,24280300
2010-02-05,10.521917343139648,10.772280220447634,10.25486322532103,10.6153857431763,29033800
2010-02-08,10.595356941223145,10.768941386412063,10.488535548274356,10.615385793224611,18684700
2010-02-09,10.7622652053833,10.909144289257831,10.715529735894219,10.748912214100706,18104200
2010-02-10,10.895792961120605,10.925836559386662,10.605372360156416,10.792310446413158,21909900
2010-02-11,11.136139869689941,11.172859958425375,10.925834717285108,10.979245408151746,24110900
2010-02-12,11.283019065856934,11.356459244073962,10.99927500650968,11.015965608810461,19127100
2010-02-17,11.433237075805664,11.516691361030523,11.35979689731616,11.479971271785772,16622400
2010-02-18,11.580116271972656,11.580116271972654,11.289695713121414,11.429899575836345,17017800
2010-02-19,11.466621398925781,11.566767587159847,11.403196583334331,11.489988503270615,11889400
2010-02-22,11.566763877868652,11.646879274670056,11.486647207655974,11.51669079980932,19817500
2010-02-23,11.413206100463867,11.566762933044021,11.349781310392636,11.48664626937563,16937500
2010-02-24,11.329754829406738,11.466619824669815,11.22960992833328,11.446591608502027,13563100
2010-02-25,11.476634979248047,11.516692684203104,11.102758821629246,11.176199008556418,18650100
2010-02-26,11.553411483764648,11.600145679880223,11.41988411765329,11.546734988117946,17804300
2010-03-01,11.660233497619629,11.700291200253945,11.48998603295382,11.623513406283418,16959300
2010-03-02,11.723657608032227,11.857184973485452,11.723657608032225,11.767054192816225,17108100
2010-03-03,11.733672142028809,11.957328998611757,11.700289666367087,11.777067450272185,19957600
2010-03-04,11.7503662109375,11.847173508809526,11.620177700963485,11.813791023295922,14068900
2010-03-05,11.95399284362793,11.990711661210947,11.817127860274189,11.913933867955082,28235000
2010-03-08,11.917274475097656,12.014081770181994,11.820467180013319,11.997389891200047,15902100
2010-03-09,12.184327125549316,12.301162629717385,11.837156951147785,11.850509944027419,68696600
2010-03-10,12.351237297058105,12.404648002000808,12.23440177793708,12.31117958670399,32196400
2010-03-11,12.367926597595215,12.50813047914725,12.287811185346783,12.327868891470999,19449600
2010-03-12,12.371262550354004,12.488098029445377,12.371262550354006,12.417996741990553,13940300
2010-03-15,12.274458885192871,12.428014495181825,12.174313977522319,12.271120000003952,19839600
2010-03-16,12.421335220336914,12.421335220336914,12.251089042711595,12.327866830535664,12807500
2010-03-17,12.4013090133667,12.511468022964467,12.327868824693844,12.494777418287413,10298100
2010-03-18,12.357914924621582,12.484765837991805,12.271121725269198,12.397972638639422,12061700
2010-03-19,12.094195365905762,12.381278322786969,12.070828266942073,12.35123472791774,24306500
2010-03-22,12.097536087036133,12.137593795138953,11.850510794676982,11.887230891026059,13489200
2010-03-23,11.957329750061035,12.157619522973459,11.920609661231117,12.144267805280931,17207000
2010-03-24,12.047463417053223,12.207695528464832,11.883892420359834,11.950656118467576,18683500
2010-03-25,11.7503662109375,12.160961232167704,11.7503662109375,12.127580020065716,17698800
2010-03-26,11.516691207885742,11.867198946486958,11.449927525911388,11.820464751128306,28820300
2010-03-29,11.650217056274414,11.750361929502585,11.389838857787788,11.596806372325315,19312800
2010-03-30,11.616836547851562,11.78374512260061,11.60348355625291,11.713643826824738,12365900
2010-03-31,11.81379222869873,11.81379222869873,11.52003269326378,11.550076296585669,16551700
2010-04-01,11.93396282196045,11.984035902605939,11.867199138903578,11.903919228255425,13721900
2010-04-05,12.020752906799316,12.100869569074785,11.9573281178308,12.00072469628881,12120300
2010-04-06,12.044122695922852,12.154281686962563,11.960668413185285,11.990710732495964,13410200
2010-04-07,11.950654983520508,12.09753536009072,11.880553680200089,11.997389185734118,15079400
2010-04-08,11.95399284362793,11.984036438676867,11.837156074699216,11.877215050372063,13552100
2010-04-09,11.760377883911133,12.047460832805392,11.760377883911133,11.950653554985449,17017800
2010-04-12,11.47996997833252,11.827140071370847,11.443249893225037,11.76705289090609,29883800
2010-04-13,11.413206100463867,11.54673344877413,11.316400110020654,11.506675753645519,19661600
2010-04-14,11.433237075805664,11.513353749922516,11.36647339294351,11.449927678168368,17377900
2010-04-15,11.21625804901123,11.5000034492076,11.196229830854717,11.443253859803672,43408800
2010-04-16,10.999275207519531,11.209580365904376,10.922497416803777,11.182874383006016,48889400
2010-04-19,11.199564933776855,11.199564933776855,10.85239479817311,10.882438392089037,23996300
