NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,38,Reais,3143,1,Brasil,201407,mai-jun-jul 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3165,1,Brasil,201408,jun-jul-ago 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3176,1,Brasil,201409,jul-ago-set 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3189,1,Brasil,201410,ago-set-out 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3167,1,Brasil,201411,set-out-nov 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3168,1,Brasil,201412,out-nov-dez 2014,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3172,1,Brasil,201501,nov-dez-jan 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3167,1,Brasil,201502,dez-jan-fev 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3168,1,Brasil,201503,jan-fev-mar 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3161,1,Brasil,201504,fev-mar-abr 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3147,1,Brasil,201505,mar-abr-mai 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3156,1,Brasil,201506,abr-mai-jun 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3134,1,Brasil,201507,mai-jun-jul 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3119,1,Brasil,201508,jun-jul-ago 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3118,1,Brasil,201509,jul-ago-set 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3106,1,Brasil,201510,ago-set-out 2015,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
