NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,38,Reais,2976,1,Brasil,201203,jan-fev-mar 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2987,1,Brasil,201204,fev-mar-abr 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2980,1,Brasil,201205,mar-abr-mai 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2986,1,Brasil,201206,abr-mai-jun 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3001,1,Brasil,201207,mai-jun-jul 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3011,1,Brasil,201208,jun-jul-ago 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3006,1,Brasil,201209,jul-ago-set 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3002,1,Brasil,201210,ago-set-out 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2999,1,Brasil,201211,set-out-nov 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2992,1,Brasil,201212,out-nov-dez 2012,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
